,train_loss,train_acc,test_loss,test_acc
0,2.3571168292652476,0.11677714646464646,2.282269205365862,0.12255008710801395
1,2.27476167678833,0.10654987373737373,2.257788743291582,0.1250544425087108
2,2.2695341673764315,0.11794507575757576,2.2587129729134694,0.12192399825783973
3,2.2678599140860816,0.11691919191919191,2.260630863053458,0.1296003919860627
4,2.2660493742335928,0.11008522727272728,2.257042816707066,0.11187935540069686
5,2.264049261266535,0.11237373737373738,2.255181380680629,0.11857578397212544
6,2.2637823473323477,0.11649305555555556,2.25326475075313,0.1327308362369338
7,2.2621615973385896,0.11079545454545454,2.2581468309674944,0.11076328397212544
8,2.262097360871055,0.11322601010101009,2.252811006137303,0.11794969512195122
9,,0.11564078282828283,,0.1091572299651568
